stop_internal_id,stop_code,stop_name,lat,lon,line_internal_ids
3273222,GETCRONF,GETWELL @CROWFARN,35.03110299810291,-89.93693900243598,111248|111241|111242
3273216,GETCRONN,GETWELL @CROWFARN,35.029404002624084,-89.93690899449284,111248|111241|111242
3272223,GETCROSM,GETWELL @CROWFARN,35.032966002849136,-89.93721299785803,111248|111241
3272938,GETDISNN,GETWELL @DISTRIPLEX,35.02385400082626,-89.93681900065302,111248|111241|111242
3273049,GETDISSF,GETWELL @DISTRIPLEX,35.02380599897163,-89.93706900442652,111248|111241|111242
3273050,GETDISSM,GETWELL @DISTRIPLEX,35.02627100041071,-89.93709800062243,111248|111241|111242
3271885,GETDUNNF,GETWELL @DUNN,35.090555998539266,-89.9309969984744,111249|111252|111243
3273182,GETDUNSF,GETWELL @DUNN,35.089716003098864,-89.93120800223109,111249|111252|111243
3271853,GETHOLNN,GETWELL @HOLMES,35.00551299453112,-89.93671799657642,111248|111241|111242
3273046,GETHOLSM,GETWELL @HOLMES,35.01530899648214,-89.93690000154936,111248|111241|111242
3271854,GETHOLSN,GETWELL @HOLMES,35.0061660016464,-89.93692699645732,111248|111241|111242
3271254,GETKENNM,GETWELL @KENOSHA,35.066828996531214,-89.9320240052127,111248|111252
3271884,GETKIMNF,GETWELL @KIMBALL,35.093166000199254,-89.93093700221635,111249|111252|111243
3273183,GETKIMSF,GETWELL @KIMBALL,35.09248700210631,-89.93115900180497,111249|111252|111243
3272879,GETMCENF,GETWELL @MCEVERS,35.10146799865407,-89.9307340006269,111249|111243|111246
3272880,GETRHONF,GETWELL @RHODES,35.09990399794486,-89.93074700448199,111249|111252|111243|111246
3273184,GETRHOSF,GETWELL @RHODES,35.099019996519395,-89.93099199898084,111249|111252|111243
3272939,GETSHENF,GETWELL @SHELBY,35.022110994811385,-89.936778002246,111248|111241|111242
3273047,GETSHESF,GETWELL @SHELBY,35.01950099944918,-89.93691500196056,111248|111241|111242
3273048,GETSHESN,GETWELL @SHELBY,35.02161699584321,-89.93703300157568,111248|111241|111242
3269561,GETSTUNN,GETWELL @STUART,35.10474800011103,-89.93062800467098,111249|111243|111246
3273001,GETSTUSF,GETWELL @STUART,35.1041140028925,-89.93084999934486,111249|111243|111246
3272821,GETCOMNN,GETWELL atCOMANCHE,35.069036998113376,-89.93205299960574,111248|111252|111259|111242|111244
3271702,GETALLNM,GETWELL RD @ALLENBROOKE,35.073514001239566,-89.93170199725917,111248|111252|111259|111242|111244
3272230,GETALLSN,GETWELL RD @ALLENBROOKE CV,35.075059997692016,-89.93174300321343,111248|111252|111259|111242|111244
3272229,GETARRSF,GETWELL RD @ARROWHEAD AVE,35.071663995663194,-89.93207000318834,111248|111252|111259|111242|111244
3272228,GETCOMSN,GETWELL RD @COMANCHE,35.06926899507376,-89.93216300386413,111248|111252|111259|111242|111244
3273181,GETELLSM,GETWELL RD @ELLISTON,35.085489001164845,-89.93130399760224,111249|111253|111252
3273178,GETELLNN,GETWELL RD @ELLISTON RD,35.08481899491363,-89.9311179970597,111249|111253|111252
3271983,GETKNISM,GETWELL RD @KNIGHT ARNOLD,35.06632900097512,-89.93258800520108,111248|111252|111242
3272924,GETKNISN,GETWELL RD @KNIGHT ARNOLD,35.06506899526708,-89.93279000216303,111248|111252|111242|111244
3273179,GETMALNF,GETWELL RD @MALLORY,35.08383599792876,-89.9311300051029,111249|111253|111252
3273180,GETMALSM,GETWELL RD @MALLORY,35.08398799766325,-89.93132900279525,111249|111253|111252
3272957,GETPARNM,GETWELL RD @PARK AVE,35.10663400227766,-89.93065799746135,111249|111243|111246
3272956,GETPARSF,GETWELL RD @PARK AVE,35.10693799540757,-89.93077900198631,111249|111243|111246
3270011,GETRA1NM,GETWELL RD  @ RAINES RD,35.03299699906713,-89.9370019992746,111248|111242
3270013,GETRAISF,GETWELL RD  @ RAINES RD,35.03627400266796,-89.93720899509317,111248|111241|111242|111244
3271255,GETWHINM,GETWELL RD @WHITEBROOK,35.05962399592136,-89.93092699615639,111248|111252|111242|111244
3272226,GETWHISF,GETWELL RD @WHITEBROOK,35.05949399451689,-89.93126999756413,111248|111252|111242|111244
3272227,GETWHISM,GETWELL RD @WHITEBROOK,35.06170999673796,-89.9314050022377,111248|111252|111242|111244
3269906,GLEDAGWN,GLENCO @DAGGETT,35.050617001914496,-90.07302199937408,111254
3270909,GLEDAGEF,GLENCO @DAGGETT RD,35.05045600313358,-90.07298800179609,111254
3270910,GLELANEF,GLENCO @LANETTE,35.050446998618625,-90.07444800169245,111254
3269847,GLEROCWN,GLENCO @ROCHESTER,35.050626000285874,-90.07579599852858,111254
3272852,GOOCAMSF,GOODLETT @CAMELOT,35.06190199762697,-89.92221400445055,111244
3271972,GOOCRESN,GOODLETT @CREIGHTON,35.057719000314016,-89.92238799658422,111244
3271971,GOODEVSN,GOODLETT @DEVEL,35.056574999708914,-89.92240200481625,111244
3270779,GOODOUNF,GOODLETT @DOUGLASS,35.10991700179244,-89.92609400318142,111249|111243|111260|111246
3270286,GOODOUSF,GOODLETT @DOUGLASS,35.109532997206585,-89.9263050056569,111249|111243|111260|111246
3272851,GOOFORSN,GOODLETT @FOREST VIEW,35.05956899780405,-89.92232900523368,111244
3270777,GOOGRANF,GOODLETT @GRANDVIEW,35.11914900110764,-89.92582199458228,111249|111256|111243|111260|111246
3272777,GOOGRASF,GOODLETT @GRANDVIEW,35.11876500038121,-89.92603299772267,111249|111256|111260|111246
3272816,GOOKNINN,GOODLETT @KNIGHT ARNOLD ,35.06448299967369,-89.92135800057059,111252|111244
3272853,GOOSHESN,GOODLETT @SHEFFIELD,35.06331299848803,-89.92156999733828,111244
3270778,GOOSPONF,GOODLETT @SPOTTSWOOD,35.11317000042532,-89.9259550041541,111249|111243|111260|111246
3270616,GOOSPOSF,GOODLETT @SPOTTSWOOD,35.112785997017404,-89.92616600382827,111249|111243|111260|111246
3271051,GOODCBEF,GOODLETT FARMS  @CHARLES BRYAN ,35.17388899540839,-89.82946699667086,111240
3272132,GOODCBEN,GOODLETT FARMS  @CHARLES BRYAN ,35.173925001043486,-89.82930000004136,111240
3272958,GOOALMNM,GOODLETT ST @ALMO,35.06700400051397,-89.92122099620988,111259|111244
3272889,GOOARRSM,GOODLETT ST @ARROWOOD,35.066091995660294,-89.92147699920177,111259|111244
3272638,GOOCHUNN,GOODLETT ST @CHUCK AVE,35.056985995954115,-89.92221299523796,111244
3273246,GOOCOTNN,GOODLETT ST @COTTONWOOD,35.069425001560326,-89.92112699448838,111252|111259|111244
3272855,GOOCOTSN,GOODLETT ST @COTTONWOOD,35.06986399607488,-89.92131500460897,111252|111244
3272637,GOOFORNN,GOODLETT ST @FOREST VIEW DR,35.059228996815705,-89.92214200103868,111244
3272854,GOOKNISN,GOODLETT ST @KNIGHT ARNOLD ,35.06485899756259,-89.92154499986613,111252|111259|111244
3272363,GOOWINNF,GOODLETT ST @WINCHESTER,35.05217700334471,-89.92185699948995,111244
3272362,GOOWINNN,GOODLETT ST @WINDY HOLLOW,35.05398200199117,-89.92178700500688,111244
3271970,GOOWINSF,GOODLETT ST @WINGOOD,35.051927002171865,-89.92206799676269,111252|111259|111244
3271537,HACCENSM,HACKS CROSS @CENTENNIAL,35.04615100297344,-89.79609599986654,111252
3271675,HAWMOUEN,HAWKINS MILL @MOUNTAIN TERRA,35.244876994678606,-89.98313799614908,111251
3272190,HAWSUNEN,HAWKINS MILL @SUNCREST,35.24443600292408,-89.97993599837083,111251
3271677,HAWCHAEF,HAWKINS MILLS @CHATTERING,35.242630001828175,-89.99105400206264,111251
3269745,HAWCHAWM,HAWKINS MILLS @CHATTERING LN,35.242728997715865,-89.99106400194873,111251
3272235,HAWLISWN,HAWKINS MILLS @LISA,35.24246499621616,-89.97740599673013,111251
3271678,HAWOVEEF,HAWKINS MILLS @OVERTONCROSSIN,35.24211299819285,-89.99275000463643,111251
3271613,HAWSUNWM,HAWKINS MILLS @SUNCREST,35.24416299610885,-89.97891699835156,111251
3271676,HAWUNIEN,HAWKINS MILLS @UNIVERSITY,35.243746001278964,-89.98870300115021,111251
3269746,HAWALIWN,HAWKINS MILLS R @ALINE RD,35.24501900328396,-89.98440700307856,111251
3270878,HERGEPNN,HERNANDO @GE PATTERSON,35.132355001881415,-90.05186600262851,111236|111239|111254|111243|111247
3272192,HERSTPSN,HERNANDO @STPAUL,35.13159199711665,-90.05205200100718,111236|111254
3271333,HICHOLNF,HICKORYatHOLMES,35.00611499926311,-89.86437300314279,111242
3270811,HICPLUSF,HICKORY HILL @PLUM VALLEY DR,35.03139499860203,-89.86648299834536,111242
3272740,HICSHESN,HICKORY HILL @SHELBY DR,35.0206609981818,-89.86633500050225,111248|111242
3271670,HICASHNN,HICKORY HILL atASHRIDGE,35.02717599532926,-89.86621799850353,111242
3272828,HICASHSN,HICKORY HILL atASHRIDGE PL,35.0274799993231,-89.86642699866101,111242
3272048,HICDISNM,HICKORY HILL atDISTRIBUTION,35.01504600022106,-89.86566400057303,111242
3272829,HICDISSF,HICKORY HILL atDISTRIBUTION,35.01821999670046,-89.86633000154886,111242
3272047,HICFRENF,HICKORY HILL atFREEPORT,35.01084299731595,-89.86429400342269,111242
3272830,HICGROSN,HICKORY HILL atGROCERY,35.00893100056967,-89.86448700527127,111242
3271669,HICHICNN,HICKORY HILL atHICKORY CMMS,35.024243997057795,-89.86618099832951,111242
3272580,HICRAINM,HICKORYHILL atRAINES,35.033744998451105,-89.86631099812477,111242
3272579,HICRIDNN,HICKORY HILL atRIDGEHILL,35.03058099788095,-89.86626400307128,111242
3271668,HICSHENF,HICKORY HILL atSHELBY,35.02064200000043,-89.86615800180815,111248|111242
3272374,WINHICOB,HICKORY RIDGE M,35.04980500331298,-89.86078500302926,111252
3272056,WINRIDWF,HICKORY RIDGE M,35.049967998035484,-89.86154800178122,111252
3273321,HIGBOWNF,HIGHLAND @BOWEN,35.153553999413745,-89.94427099493255,111249
3270955,HIGCHANF,HIGHLAND @CHARLESWOOD AV,35.14299599988636,-89.94465900357909,111249|111258
3273324,HIGGUENN,HIGHLAND @GUERNSEY,35.1587439985827,-89.9440690021633,111249
3271459,HIGLILNN,HIGHLAND @LILLY,35.13034200327644,-89.94504499526951,111249|111256|111245|111260|111246
3270454,HIGMIDNN,HIGHLAND @MIDLAND AVE,35.11906299839341,-89.94552200304804,111249|111260|111246
3270713,HIGNO1NN,HIGHLAND @NORRISWOOD,35.12094099507427,-89.94544799837108,111249|111260|111246
3273238,HIGNORNN,HIGHLAND @NORTHWOOD DR,35.134094995158115,-89.94495000018637,111249|111258
3273237,HIGOAKNN,HIGHLAND @OAKLEY AVE,35.13640900171047,-89.944879999915,111249|111258
3270953,HIGPHINF,HIGHLAND @PHILWOOD AVE,35.145569002689875,-89.94457799918364,111249|111258
3270954,HIGSHINN,HIGHLAND @SHIRLWOOD,35.144407997123665,-89.94461300360129,111249|111258
3273193,HIGSPOSF,HIGHLAND @SPOTSWOOD,35.11289800192801,-89.9459470010471,111249|111243|111260|111246
3270715,HIGSPONF,HIGHLAND @SPOTTSWOOD,35.11375800295432,-89.9457389969064,111249|111243|111260|111246
3273241,HIGWA1NN,HIGHLAND @WALNUT GROVE,35.13186099780573,-89.94498699909579,111249|111256|111258|111245|111260|111246
3273073,HIGBARSF,HIGHLAND ST @BARWOOD CR,35.140735003473495,-89.94492900044023,111249|111258
3273315,HIGBOWSN,HIGHLAND ST @BOWEN,35.153325995356646,-89.94452099753171,111249
3272810,HIGCENNF,HIGHLAND ST @CENTRAL AVE,35.123559002451486,-89.94535500150701,111249|111256|111243|111260|111246
3272955,HIGCENSF,HIGHLAND ST @CENTRAL AVE,35.12277699614884,-89.94554699829862,111249|111256|111243|111260|111246
3273074,HIGCHASF,HIGHLAND ST @CHARLESWOOD,35.14271900236577,-89.94487000490255,111249|111258
3273322,HIGCOLNN,HIGHLAND ST @COLEMAN AVE,35.155611998801604,-89.94420399472496,111249
3273314,HIGCOLSN,HIGHLAND ST @COLEMAN AVE,35.15584499983776,-89.94437699589193,111249
3273323,HIGGIVNF,HIGHLAND ST @GIVEN AVE,35.157281002746,-89.94412899624228,111249
3273313,HIGGIVSN,HIGHLAND ST @GIVEN AVE,35.15706699511815,-89.94431700460603,111249
3273312,HIGGUESM,HIGHLAND ST @GUERNSEY,35.15899399478504,-89.94422899787054,111249
3273068,HIGHI1SN,HIGHLAND ST @HIGHLAND CV,35.13426499913756,-89.94513800517244,111249|111258
3273069,HIGHIGSN,HIGHLAND ST @HIGHLAND PARK ,35.13546199789667,-89.94510299899642,111249|111258
3273311,HIGLAMSM,HIGHLAND ST @LAMPHIER,35.16005900096553,-89.94419299898891,111249
3273067,HIGLILSF,HIGHLAND ST @LILLY LN,35.130511996854466,-89.94524399716859,111249|111256|111260
3273310,HIGMACSF,HIGHLAND ST @MACON RD,35.161251994766836,-89.94414499620336,111249
3272747,HIGMIDSN,HIGHLAND ST @MIDLAND,35.11939499605609,-89.9457270037732,111249|111243|111260|111246
3273072,HIGMIMSF,HIGHLAND ST @MIMOSA AVE,35.138973995449696,-89.94499799923737,111249|111258
3273070,HIGOAKSF,HIGHLAND ST @OAKLEY,35.13640099629664,-89.94507900469348,111249|111258
3271343,HIGPHISN,HIGHLAND ST @PHILWOOD AVE,35.145408999036064,-89.94477699654651,111249|111258
3273242,HIGPOPNN,HIGHLAND ST @POPLAR AVE,35.127393001334305,-89.94516699427518,111249|111256|111260|111246
3272750,HIGPOPSN,HIGHLAND ST @POPLAR AVE,35.12816700163929,-89.94531499691979,111249|111256|111260|111246
3271342,HIGSHISN,HIGHLAND ST @SHIRLWOOD AVE,35.144613001941686,-89.94479999527482,111249|111258
3272746,HIGSOUSN,HIGHLAND ST @SOUTHERN AVE,35.11581200005744,-89.94584100079183,111249|111243|111260|111246
3273194,HIGSPOSM,HIGHLAND ST @SPOTTSWOOD AVE,35.11448099738051,-89.9458680032109,111249|111243|111260|111246
3273318,HIGSUMSN,HIGHLAND ST @SUMMER AVE,35.14962399768656,-89.94460000217535,111249
3273319,HIGSUMNF,HIGHLAND ST  @ SUMMER AVE,35.1501729957479,-89.94439000322419,111249
